threshold,accuracy,precision_macro,recall_macro,f1_macro,correct,total
0.15,0.7872340425531915,0.7621212121212121,0.7492424242424242,0.7442163896709352,37,47
0.2,0.7872340425531915,0.7621212121212121,0.7492424242424242,0.7442163896709352,37,47
0.25,0.7872340425531915,0.7659090909090908,0.7492424242424242,0.7475713680259134,37,47
0.28,0.7872340425531915,0.7659090909090908,0.7492424242424242,0.7475713680259134,37,47
0.3,0.7872340425531915,0.7659090909090908,0.7492424242424242,0.7475713680259134,37,47
0.31,0.7872340425531915,0.7659090909090908,0.7492424242424242,0.7475713680259134,37,47
0.32,0.7872340425531915,0.7659090909090908,0.7492424242424242,0.7475713680259134,37,47
0.35,0.7659574468085106,0.757070707070707,0.731060606060606,0.7266584574071205,36,47
0.4,0.723404255319149,0.7307692307692307,0.6946969696969698,0.6939197166469894,34,47
0.45,0.6382978723404256,0.7047049441786284,0.6174242424242424,0.6306878306878306,30,47
0.5,0.5531914893617021,0.6371212121212122,0.518939393939394,0.5358766233766233,26,47
