scenario_type,test_question,expected_category,expected_status
in_scope,Apa itu Program Magister Teknik Informatika UNPAM?,profil_program,answered
in_scope,Apa manfaat chatbot MTI ini untuk calon mahasiswa?,profil_program,answered
in_scope,Apakah MTI UNPAM cocok untuk orang yang bekerja di bidang IT?,profil_program,answered
in_scope,Mata kuliah semester satu apa saja?,kurikulum_semester_1,answered
in_scope,Semester 2 di MTI belajar apa?,kurikulum_semester_2,answered
in_scope,Apa isi mata kuliah Knowledge Management?,kurikulum_semester_2,answered
in_scope,Kapan mahasiswa mengerjakan tesis?,kurikulum_semester_4,answered
in_scope,Peminatan Data Science mempelajari apa?,peminatan_data_science,answered
in_scope,Kalau saya suka machine learning cocok peminatan apa?,rekomendasi_peminatan,answered
in_scope,Saya tertarik cyber security cocoknya ambil peminatan apa?,rekomendasi_peminatan,answered
in_scope,Apa yang dipelajari pada Internet of Things?,peminatan_iot,answered
in_scope,Data Security fokusnya ke apa?,peminatan_data_security,answered
in_scope,Contoh topik tesis untuk Data Science apa?,tesis,answered
in_scope,Lulusan MTI bisa bekerja sebagai apa?,prospek_karier,answered
in_scope,Apakah peminatan berpengaruh ke karier?,prospek_karier,answered
paraphrase,"Saya suka data, statistik, dan Python, lebih cocok ke mana?",rekomendasi_peminatan,answered
paraphrase,Kalau minat jaringan sensor dan perangkat pintar sebaiknya pilih apa?,rekomendasi_peminatan,answered
paraphrase,"Saya ingin fokus keamanan data dan privasi, peminatan apa yang sesuai?",rekomendasi_peminatan,answered
out_of_scope,Berapa harga Bitcoin hari ini?,fallback,fallback
out_of_scope,Bagaimana cara memasak nasi goreng?,fallback,fallback
out_of_scope,Apa password WiFi kampus?,fallback,fallback
out_of_scope,Tolong buatkan saya trading signal crypto,fallback,fallback
out_of_scope,Siapa presiden Indonesia saat ini?,fallback,fallback
out_of_scope,Berapa biaya kuliah terbaru MTI UNPAM tahun ini?,fallback,fallback
